date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,market,date_calculated,slice
2024-12-31,2599.0,61433.828125,65474.0,1728.0,Boston - MA,2024-12-31,Class A
2025-12-31,3698.0,65132.84375,70170.0,4696.0,Boston - MA,2024-12-31,Class A
2026-12-31,2743.0,67874.171875,72756.0,2586.0,Boston - MA,2024-12-31,Class A
2027-12-31,3115.0,70988.7421875,76314.0,3558.0,Boston - MA,2024-12-31,Class A
2028-12-31,3668.0,74657.8125,80372.0,4058.0,Boston - MA,2024-12-31,Class A
2029-12-31,4027.0,78685.7265625,84748.0,4376.0,Boston - MA,2024-12-31,Class A
2024-12-31,5840.0,102959.2109375,110177.0,6149.0,Boston - MA,2024-12-31,Class B
2025-12-31,3893.0,106851.5390625,113687.0,3510.0,Boston - MA,2024-12-31,Class B
2026-12-31,4039.0,110890.9453125,117797.0,4110.0,Boston - MA,2024-12-31,Class B
2027-12-31,2900.0,113791.84375,120102.0,2305.0,Boston - MA,2024-12-31,Class B
2028-12-31,2837.0,116628.3828125,123102.0,3000.0,Boston - MA,2024-12-31,Class B
2029-12-31,2992.0,119619.265625,126338.0,3236.0,Boston - MA,2024-12-31,Class B
2024-12-31,-23.0,102916.140625,106435.0,30.0,Boston - MA,2024-12-31,Class C
2025-12-31,-237.0,102679.484375,106455.0,20.0,Boston - MA,2024-12-31,Class C
2026-12-31,-123.0,102556.34375,106401.0,-54.0,Boston - MA,2024-12-31,Class C
2027-12-31,134.0,102690.4453125,106347.0,-54.0,Boston - MA,2024-12-31,Class C
2028-12-31,139.0,102829.6015625,106296.0,-51.0,Boston - MA,2024-12-31,Class C
2029-12-31,-16.0,102814.140625,106247.0,-49.0,Boston - MA,2024-12-31,Class C
2024-12-31,29.0,2982.10595703125,3102.0,24.0,Buffalo - NY,2024-12-31,Class A
2025-12-31,15.0,2996.65209960938,3169.0,67.0,Buffalo - NY,2024-12-31,Class A
2026-12-31,75.0,3071.16259765625,3239.0,70.0,Buffalo - NY,2024-12-31,Class A
2027-12-31,176.0,3246.36303710938,3468.0,229.0,Buffalo - NY,2024-12-31,Class A
2028-12-31,255.0,3500.85913085938,3761.0,293.0,Buffalo - NY,2024-12-31,Class A
2029-12-31,287.0,3789.63549804688,4077.0,316.0,Buffalo - NY,2024-12-31,Class A
