date,market_cap_rate,market_effective_rent_growth_12_mo,market_effective_rentunit,market_sale_price_growth,market_sale_price_per_unit,occupancy_rate,revenue,opex,noi,market,date_calculated,slice
2026-12-31,0.0777365937829018,0.0367902629077435,2500.40795898438,0.0632732644991971,127147.6396,0.844458103179932,25337.877146639454,0.54,11655.423487454147,Portland - ME,2024-12-31,Class A
2027-12-31,0.0745365917682648,0.024741243571043,2562.27124023438,0.0720015993677675,136302.4731,0.893250286579132,27464.99423559393,0.54,12633.897348373208,Portland - ME,2024-12-31,Class A
2028-12-31,0.0710365921258926,0.0218325294554234,2618.21215820313,0.0750946551888097,146538.0603,0.899678707122803,28266.596753584745,0.54,13002.634506648981,Portland - ME,2024-12-31,Class A
2029-12-31,0.0689365938305855,0.016599103808403,2661.67211914063,0.0496234776632487,153809.7884,0.903236210346222,28849.423656921364,0.54,13270.734882183826,Portland - ME,2024-12-31,Class A
2024-12-31,0.0790749564766884,0.0519475564360619,1923.51232910156,-0.0079537232703324,109185.7882,0.960771441459656,0.0,,,Portland - ME,2024-12-31,Class B
2025-12-31,0.0803749561309814,0.0398804284632206,2000.22277832031,0.0230444009576903,111701.9093,0.969857156276703,23279.164508419464,0.54,10708.415673872953,Portland - ME,2024-12-31,Class B
2026-12-31,0.0786749571561813,0.0399472713470459,2080.12622070313,0.066511863119894,119131.4114,0.970836102962494,24233.539605330327,0.54,11147.428218451949,Portland - ME,2024-12-31,Class B
2027-12-31,0.0754749551415443,0.0312882252037525,2145.20971679688,0.0775422274041958,128369.1264,0.970198214054108,24975.34363209422,0.54,11488.65807076334,Portland - ME,2024-12-31,Class B
2028-12-31,0.0719749554991722,0.0286191701889038,2206.60375976563,0.0807164096266624,138730.6214,0.969069361686707,25660.2251636588,0.54,11803.703575283047,Portland - ME,2024-12-31,Class B
2029-12-31,0.0698749572038651,0.0228463895618916,2257.01684570313,0.0549584249952782,146355.0379,0.968301773071289,26225.680962553302,0.54,12063.813242774519,Portland - ME,2024-12-31,Class B
2024-12-31,0.0807054862380028,0.0258756391704082,1554.65783691406,-0.0050324100745752,110970.8386,0.970289289951324,0.0,,,Portland - ME,2024-12-31,Class C
2025-12-31,0.0820054858922958,0.0371757373213768,1612.45336914063,0.0219434351873915,113405.92,0.96796190738678,18729.521265187246,0.54,8615.579781986133,Portland - ME,2024-12-31,Class C
2026-12-31,0.0803054869174957,0.0374883450567722,1672.90161132813,0.0645276807200131,120723.741,0.968805313110352,19448.591632386735,0.54,8946.352150897897,Portland - ME,2024-12-31,Class C
2027-12-31,0.0771054849028587,0.0296950433403254,1722.57849121094,0.0754345631937784,129830.4837,0.971585094928741,20083.57904286466,0.54,9238.446359717744,Portland - ME,2024-12-31,Class C
2028-12-31,0.0736054852604866,0.0271019823849201,1769.26379394531,0.0784566797235308,140016.5524,0.973579049110413,20670.21794561708,0.54,9508.300254983857,Portland - ME,2024-12-31,Class C
2029-12-31,0.0715054869651794,0.0212315171957016,1806.82788085938,0.0531612786560516,147460.0113,0.97392725944519,21116.627115534433,0.54,9713.648473145839,Portland - ME,2024-12-31,Class C
2024-12-31,0.0549836717545986,0.0331374108791351,1875.67663574219,-0.0410343217608276,324302.604,0.906838417053223,0.0,,,Portland - OR,2024-12-31,Class A
2025-12-31,0.0560836717486382,0.0582763738930225,1984.98425292969,0.044107772552468,338606.8695,0.912805676460266,21742.858725101538,0.54,10001.715013546707,Portland - OR,2024-12-31,Class A
2026-12-31,0.0546836741268635,0.0493608675897121,2082.96484375,0.0839507259281508,367033.162,0.920669317245483,23012.66184649988,0.54,10585.824449389944,Portland - OR,2024-12-31,Class A
2027-12-31,0.0522836744785309,0.0356866233050823,2157.298828125,0.0899467438647438,400046.5999,0.920571565628052,23831.37551681512,0.54,10962.432737734953,Portland - OR,2024-12-31,Class A
2028-12-31,0.0494836717844009,0.0293140672147274,2220.53784179688,0.0909507628787754,436431.1433,0.919806480407715,24509.58116250398,0.54,11274.40733475183,Portland - OR,2024-12-31,Class A
2029-12-31,0.0477836728096008,0.0236633773893118,2273.08325195313,0.0628565750457483,463863.7102,0.920006930828094,25095.028153753705,0.54,11543.712950726704,Portland - OR,2024-12-31,Class A
2024-12-31,0.0545387975871563,0.0359411612153053,1709.12634277344,-0.024431592834283,253952.2145,0.920232176780701,0.0,,,Portland - OR,2024-12-31,Class B
2025-12-31,0.0556387975811958,0.0597426295280457,1811.23413085938,0.0449242875754748,265360.8368,0.936462640762329,20353.837166681238,0.54,9362.765096673369,Portland - OR,2024-12-31,Class B
2026-12-31,0.0542387999594212,0.0509427189826965,1903.50329589844,0.0857834421173646,288124.4028,0.940706372261047,21487.652160858812,0.54,9884.319993995052,Portland - OR,2024-12-31,Class B
2027-12-31,0.0518388003110886,0.0379871502518654,1975.81188964844,0.0928695227879887,314882.3785,0.94261634349823,22349.19094632889,0.54,10280.627835311288,Portland - OR,2024-12-31,Class B
2028-12-31,0.0490387976169586,0.0317048504948616,2038.45471191406,0.0942491772785303,344559.7837,0.94285249710083,23063.545384261495,0.54,10609.230876760286,Portland - OR,2024-12-31,Class B
