date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,market,date_calculated,slice
2024-12-31,-2.0,18580.138671875,19290.0,-2.0,"Ann Arbor,Michigan",2024-12-31,Class C
2025-12-31,-19.0,18559.931640625,19281.0,-9.0,"Ann Arbor,Michigan",2024-12-31,Class C
2026-12-31,34.0,18593.83203125,19275.0,-6.0,"Ann Arbor,Michigan",2024-12-31,Class C
2027-12-31,44.0,18638.119140625,19274.0,-1.0,"Ann Arbor,Michigan",2024-12-31,Class C
2028-12-31,13.0,18650.513671875,19274.0,0.0,"Ann Arbor,Michigan",2024-12-31,Class C
2029-12-31,2.0,18651.84375,19274.0,0.0,"Ann Arbor,Michigan",2024-12-31,Class C
2024-12-31,-5.0,806.270324707031,836.0,0.0,"Anniston,Alabama",2024-12-31,Class B
2025-12-31,-4.0,801.100524902344,835.0,-1.0,"Anniston,Alabama",2024-12-31,Class B
2026-12-31,-4.0,796.037719726563,835.0,0.0,"Anniston,Alabama",2024-12-31,Class B
2027-12-31,-4.0,790.923278808594,835.0,0.0,"Anniston,Alabama",2024-12-31,Class B
2028-12-31,-1.0,789.739929199219,835.0,0.0,"Anniston,Alabama",2024-12-31,Class B
2029-12-31,0.0,789.73291015625,835.0,0.0,"Anniston,Alabama",2024-12-31,Class B
2024-12-31,-5.0,1209.54064941406,1253.0,0.0,"Anniston,Alabama",2024-12-31,Class C
2025-12-31,-8.0,1200.99792480469,1252.0,-1.0,"Anniston,Alabama",2024-12-31,Class C
2026-12-31,-8.0,1192.70751953125,1251.0,-1.0,"Anniston,Alabama",2024-12-31,Class C
2027-12-31,-8.0,1185.30114746094,1250.0,-1.0,"Anniston,Alabama",2024-12-31,Class C
2028-12-31,-2.0,1182.79895019531,1249.0,-1.0,"Anniston,Alabama",2024-12-31,Class C
2029-12-31,-1.0,1181.76013183594,1248.0,-1.0,"Anniston,Alabama",2024-12-31,Class C
2024-12-31,-8.0,894.392211914063,916.0,0.0,"Appleton,Wisconsin",2024-12-31,Class A
2025-12-31,0.0,893.205871582031,916.0,0.0,"Appleton,Wisconsin",2024-12-31,Class A
2026-12-31,24.0,917.48681640625,959.0,43.0,"Appleton,Wisconsin",2024-12-31,Class A
2027-12-31,62.0,979.640991210938,1037.0,78.0,"Appleton,Wisconsin",2024-12-31,Class A
2028-12-31,82.0,1061.9189453125,1127.0,90.0,"Appleton,Wisconsin",2024-12-31,Class A
2029-12-31,89.0,1151.29956054688,1220.0,93.0,"Appleton,Wisconsin",2024-12-31,Class A
2024-12-31,366.0,8193.7509765625,8372.0,222.0,"Appleton,Wisconsin",2024-12-31,Class B
2025-12-31,137.0,8330.9072265625,8550.0,178.0,"Appleton,Wisconsin",2024-12-31,Class B
2026-12-31,96.0,8427.0439453125,8609.0,59.0,"Appleton,Wisconsin",2024-12-31,Class B
2027-12-31,104.0,8531.240234375,8714.0,105.0,"Appleton,Wisconsin",2024-12-31,Class B
2028-12-31,112.0,8642.3427734375,8835.0,121.0,"Appleton,Wisconsin",2024-12-31,Class B
2029-12-31,119.0,8760.447265625,8961.0,126.0,"Appleton,Wisconsin",2024-12-31,Class B
2024-12-31,-15.0,3466.2587890625,3560.0,-1.0,"Appleton,Wisconsin",2024-12-31,Class C
2025-12-31,-10.0,3455.82568359375,3557.0,-3.0,"Appleton,Wisconsin",2024-12-31,Class C
2026-12-31,0.0,3456.65966796875,3553.0,-4.0,"Appleton,Wisconsin",2024-12-31,Class C
2027-12-31,2.0,3457.5048828125,3550.0,-3.0,"Appleton,Wisconsin",2024-12-31,Class C
2028-12-31,-4.0,3454.8134765625,3546.0,-4.0,"Appleton,Wisconsin",2024-12-31,Class C
2029-12-31,-5.0,3449.32153320313,3542.0,-4.0,"Appleton,Wisconsin",2024-12-31,Class C
2024-12-31,29.0,6410.30810546875,7044.0,237.0,"Asheville,North Carolina",2024-12-31,Class A
2025-12-31,208.0,6618.58447265625,7363.0,319.0,"Asheville,North Carolina",2024-12-31,Class A
2026-12-31,178.0,6795.9287109375,7439.0,76.0,"Asheville,North Carolina",2024-12-31,Class A
2027-12-31,228.0,7023.271484375,7661.0,222.0,"Asheville,North Carolina",2024-12-31,Class A
2028-12-31,270.0,7293.779296875,7935.0,274.0,"Asheville,North Carolina",2024-12-31,Class A
2029-12-31,284.0,7577.90869140625,8223.0,288.0,"Asheville,North Carolina",2024-12-31,Class A
2024-12-31,678.0,11592.646484375,12831.0,935.0,"Asheville,North Carolina",2024-12-31,Class B
2025-12-31,385.0,11978.04296875,13145.0,314.0,"Asheville,North Carolina",2024-12-31,Class B
2026-12-31,524.0,12502.236328125,13611.0,466.0,"Asheville,North Carolina",2024-12-31,Class B
2027-12-31,369.0,12871.1298828125,13789.0,178.0,"Asheville,North Carolina",2024-12-31,Class B
2028-12-31,286.0,13156.83203125,14010.0,221.0,"Asheville,North Carolina",2024-12-31,Class B
2029-12-31,246.0,13402.8447265625,14242.0,232.0,"Asheville,North Carolina",2024-12-31,Class B
2024-12-31,3.0,2148.34887695313,2239.0,0.0,"Asheville,North Carolina",2024-12-31,Class C
2025-12-31,-10.0,2138.7646484375,2233.0,-6.0,"Asheville,North Carolina",2024-12-31,Class C
2026-12-31,-12.0,2125.22338867188,2226.0,-7.0,"Asheville,North Carolina",2024-12-31,Class C
2027-12-31,-11.0,2115.60180664063,2220.0,-6.0,"Asheville,North Carolina",2024-12-31,Class C
2028-12-31,0.0,2115.94116210938,2215.0,-5.0,"Asheville,North Carolina",2024-12-31,Class C
2029-12-31,2.0,2117.55419921875,2210.0,-5.0,"Asheville,North Carolina",2024-12-31,Class C
2024-12-31,-79.0,1494.22998046875,1752.0,0.0,"Athens,Georgia",2024-12-31,Class A
2025-12-31,-5.0,1488.85705566406,1752.0,0.0,"Athens,Georgia",2024-12-31,Class A
2026-12-31,1.0,1489.94384765625,1773.0,21.0,"Athens,Georgia",2024-12-31,Class A
2027-12-31,38.0,1527.11010742188,1837.0,64.0,"Athens,Georgia",2024-12-31,Class A
2028-12-31,74.0,1602.01965332031,1915.0,78.0,"Athens,Georgia",2024-12-31,Class A
2029-12-31,78.0,1679.51220703125,1997.0,82.0,"Athens,Georgia",2024-12-31,Class A
2024-12-31,310.0,5457.87353515625,6338.0,518.0,"Athens,Georgia",2024-12-31,Class B
2025-12-31,315.0,5773.32568359375,6528.0,190.0,"Athens,Georgia",2024-12-31,Class B
2026-12-31,190.0,5962.63916015625,6553.0,25.0,"Athens,Georgia",2024-12-31,Class B
2027-12-31,103.0,6066.06689453125,6626.0,73.0,"Athens,Georgia",2024-12-31,Class B
2028-12-31,103.0,6168.34814453125,6716.0,90.0,"Athens,Georgia",2024-12-31,Class B
2029-12-31,101.0,6269.6357421875,6811.0,95.0,"Athens,Georgia",2024-12-31,Class B
2024-12-31,-40.0,4678.60302734375,4998.0,0.0,"Athens,Georgia",2024-12-31,Class C
2025-12-31,-7.0,4670.7421875,4993.0,-5.0,"Athens,Georgia",2024-12-31,Class C
2026-12-31,-12.0,4659.5234375,4987.0,-6.0,"Athens,Georgia",2024-12-31,Class C
2027-12-31,-11.0,4647.6552734375,4982.0,-5.0,"Athens,Georgia",2024-12-31,Class C
2028-12-31,5.0,4653.30908203125,4976.0,-6.0,"Athens,Georgia",2024-12-31,Class C
2029-12-31,7.0,4661.20458984375,4971.0,-5.0,"Athens,Georgia",2024-12-31,Class C
2024-12-31,9888.0,129988.1484375,150311.0,10231.0,"Atlanta,Georgia",2024-12-31,Class A
2025-12-31,7924.0,137911.328125,158147.0,7836.0,"Atlanta,Georgia",2024-12-31,Class A
2026-12-31,7425.0,145336.59375,164303.0,6156.0,"Atlanta,Georgia",2024-12-31,Class A
2027-12-31,7242.0,152578.171875,170247.0,5944.0,"Atlanta,Georgia",2024-12-31,Class A
