,equity,price,revenue,noi,debt_payment,loan_payoff,valuation,cashflow,market,date_cashflow,slice
2028-12-31,0.0,110034.1291,11503.489816479303,5291.605315580479,-3268.23080895,0.0,0.0,2023.3745066304791,"Alexandria,Louisiana",2024-12-31,Class B
2029-12-31,0.0,116594.7785,11829.566769045363,5441.600713760867,-3268.23080895,-50670.2451,116594.7785,68097.90330481087,"Alexandria,Louisiana",2024-12-31,Class B
2024-12-31,-34837.34456,87093.3614,0.0,0.0,0.0,0.0,0.0,-34837.34456,"Alexandria,Louisiana",2024-12-31,Class C
2025-12-31,0.0,89106.58,11538.505260806069,5307.712419970791,-3370.51308618,0.0,0.0,1937.1993337907916,"Alexandria,Louisiana",2024-12-31,Class C
2026-12-31,0.0,95455.8024,11944.328303056416,5494.391019405951,-3370.51308618,0.0,0.0,2123.877933225951,"Alexandria,Louisiana",2024-12-31,Class C
2027-12-31,0.0,102878.0698,12243.333314619951,5631.933324725177,-3370.51308618,0.0,0.0,2261.420238545177,"Alexandria,Louisiana",2024-12-31,Class C
2028-12-31,0.0,110967.0815,12577.843677568246,5785.808091681392,-3370.51308618,0.0,0.0,2415.2950055013926,"Alexandria,Louisiana",2024-12-31,Class C
2029-12-31,0.0,116993.6059,12849.738917198318,5910.879901911226,-3370.51308618,-52256.01684,116993.6059,67277.95587573122,"Alexandria,Louisiana",2024-12-31,Class C
2024-12-31,-48267.93636000001,120669.8409,0.0,0.0,0.0,0.0,0.0,-48267.93636000001,"Altoona,Pennsylvania",2024-12-31,Class B
2025-12-31,0.0,123370.9678,12466.385983878252,5734.537552583995,-4669.922842829999,0.0,0.0,1064.614709753996,"Altoona,Pennsylvania",2024-12-31,Class B
2026-12-31,0.0,131291.4257,12915.234020091297,5941.007649241996,-4669.922842829999,0.0,0.0,1271.0848064119964,"Altoona,Pennsylvania",2024-12-31,Class B
2027-12-31,0.0,141071.7768,13318.106254412245,6126.328877029632,-4669.922842829999,0.0,0.0,1456.4060341996328,"Altoona,Pennsylvania",2024-12-31,Class B
2028-12-31,0.0,151967.2919,13680.99206693401,6293.256350789644,-4669.922842829999,0.0,0.0,1623.3335079596445,"Altoona,Pennsylvania",2024-12-31,Class B
2029-12-31,0.0,159911.0788,13948.969039228285,6416.525758045011,-4669.922842829999,-72401.90453999999,159911.0788,89255.77717521501,"Altoona,Pennsylvania",2024-12-31,Class B
2024-12-31,-28548.99628,71372.4907,0.0,0.0,0.0,0.0,0.0,-28548.99628,"Altoona,Pennsylvania",2024-12-31,Class C
